,Latitude,Humidity (%)
marawi,8.0,93
porbandar,21.64,65
akdagmadeni,39.66,35
kloulklubed,7.04,88
chuy,-33.69,55
ilo,-17.65,64
nikolskoye,59.7,79
mossendjo,-2.95,85
moerai,-22.43,83
arraial do cabo,-22.97,69
peterhead,-34.83,81
waddan,29.16,33
tonstad,58.66,65
biak,-0.91,74
zhezkazgan,47.8,78
sotnikovo,51.88,77
eureka,40.8,76
skibbereen,51.55,93
mwinilunga,-11.73,96
la ronge,55.1,75
praia da vitoria,38.73,88
allapalli,19.43,75
dwarka,28.58,64
sao felix do xingu,-6.64,92
salinas,36.67,58
elmadag,39.92,48
prince rupert,54.32,100
miles city,46.41,42
aklavik,68.22,83
vangaindrano,-23.35,85
lakatoro,-16.11,64
flinders,-34.58,87
portland,43.66,30
haines junction,60.75,97
oranjestad,12.52,66
pangnirtung,66.15,92
bilma,18.69,14
luderitz,-26.65,81
sennoy,52.16,36
medowie,-32.73,93
eldorado,-24.52,77
zakamensk,50.38,88
tsabong,-26.02,11
mahon,51.89,93
basco,40.33,80
mehamn,71.03,87
victoria,5.28,88
loa janan,-0.58,92
mayo,63.59,84
constitucion,23.99,16
phalaborwa,-23.95,60
jaisalmer,26.91,47
orsha,54.51,35
karasjok,69.47,91
sucre,-19.05,67
mayya,61.74,75
panjab,34.38,76
tuktoyaktuk,69.44,84
sao filipe,14.9,73
dudinka,69.41,83
nouadhibou,20.93,73
wewak,-3.55,89
srednekolymsk,67.46,99
axim,4.87,79
indramayu,-4.05,93
kotovo,50.32,51
biloela,-24.4,95
launceston,-41.43,87
sattahip,12.67,83
lishu,43.31,37
roma,41.89,72
manhattan,39.18,74
vilyuysk,63.75,96
saint-georges,46.12,77
vostok,46.45,86
sao joao da barra,-21.64,58
birjand,32.86,46
kalianget,-7.35,94
thinadhoo,0.53,76
kaitangata,-46.28,79
mombetsu,44.35,77
saint-augustin,45.63,64
esperance,-33.86,93
ambikapur,23.12,61
bom jesus,-9.08,38
beaverlodge,55.21,60
nishihara,35.74,100
ostrovnoy,68.05,94
brownsville,25.91,63
lavrentiya,65.58,74
airai,-8.93,50
las juntas,10.28,71
pasighat,28.06,90
half moon bay,37.46,71
mragowo,53.86,80
mesaria,36.4,77
sola,-3.17,88
strezhevoy,60.73,92
kazuno,40.2,98
zhigalovo,54.81,96
sambava,-14.27,95
bolshaya sosnova,57.67,95
rawson,-43.3,35
sayyan,15.17,58
souillac,45.6,87
moron,18.56,64
aitape,-3.15,74
miri,10.31,20
qaqortoq,60.72,45
mbalmayo,3.52,94
yongan,39.7,37
barrow,-38.31,15
belawan,-0.59,97
centralia,46.72,93
boysun,38.2,66
buzuluk,52.79,70
nioki,-2.72,86
coquimbo,-29.95,60
miramar,10.09,48
yinchuan,38.48,17
san cristobal,14.68,62
senno,57.76,73
sajanan,37.06,67
casablanca,33.6,72
san nicolas,13.93,88
kudahuvadhoo,2.67,75
sumbe,-11.2,74
torbay,47.66,100
maniitsoq,65.42,78
karratha,-20.74,57
kaoma,-14.8,84
hohhot,40.81,31
hami,42.84,26
phibun mangsahan,15.24,88
songea,-10.68,58
anadyr,64.73,75
jijiga,9.35,86
ejura,7.38,46
belaya gora,68.54,98
christchurch,-43.53,100
makaha,21.47,74
northam,-31.65,77
kruisfontein,-34.0,88
medina del campo,41.31,75
dumka,24.27,58
college,64.86,100
dikson,73.51,99
ulladulla,-35.36,87
ivanivka,46.71,65
jaboticabal,-21.25,40
zaysan,47.47,88
akbarpur,26.42,43
nelson bay,-32.72,93
gazimurskiy zavod,51.55,91
chabahar,25.29,32
qasigiannguit,68.82,64
la salle,41.33,69
hwange,-18.35,61
narsaq,60.91,45
naples,40.84,63
clearlake,38.96,66
uglekamensk,43.22,99
eyl,7.98,79
salalah,17.01,28
aksu,52.04,84
urengoy,65.96,96
cabo san lucas,22.89,64
trento,46.07,97
kapit,2.02,97
buckeye,33.37,37
bandarbeyla,9.49,79
xuddur,4.12,63
orlik,53.95,65
sovetskiy,56.76,74
camopi,3.17,53
la palma,5.36,79
kiama,-34.67,87
hamilton,43.26,64
riyadh,24.63,39
singkang,2.1,88
ahipara,-35.17,100
geraldton,49.72,80
grindavik,63.84,100
soc trang,9.6,94
salina cruz,16.18,74
agadir,30.42,72
dhidhdhoo,6.88,79
pekan,3.49,94
north platte,41.12,32
san patricio,-26.98,50
senanga,-16.1,68
aquiraz,-3.9,62
kuala lipis,4.19,98
fortuna,40.6,71
nsanje,-16.92,91
lebedinyy,58.52,97
ormara,25.21,62
bubaque,11.28,61
vrangel,42.73,90
livingston,32.58,72
jabinyanah,35.03,63
najran,17.54,56
koslan,63.46,97
flin flon,54.77,80
labuhan,-2.54,94
rosario,-34.31,60
palana,59.08,87
aswan,24.09,19
champerico,16.38,54
cordoba,-27.78,37
salinopolis,-0.61,79
lichuan,30.3,86
buchanan,5.88,79
takoradi,4.89,77
pop,40.87,86
taltal,-25.41,67
bongandanga,1.51,98
kobryn,52.21,55
mackay,53.65,45
rudnya,50.8,41
huarmey,-10.07,45
celestun,20.87,70
yerbogachen,61.28,95
bani,16.02,70
kirakira,-10.46,88
valdosta,30.83,53
kota kinabalu,5.98,100
te anau,-45.41,86
sohag,26.55,33
baykit,61.68,95
codrington,-28.95,87
rosarito,4.91,68
gobabis,-22.45,13
covington,35.56,93
maniwaki,46.38,74
alexandria,43.97,94
baghdad,33.3,22
egvekinot,66.32,77
kargil,34.56,63
lekoni,-1.58,66
rognan,67.1,86
ikongo,-21.88,97
beloha,-25.17,73
gotsu,35.01,63
itarema,-2.92,50
gunjur,13.18,45
cheyenne,41.14,26
concarneau,47.88,93
tirlyanskiy,54.22,95
preobrazheniye,42.9,97
la sarre,48.8,76
stephenville,48.55,80
beringovskiy,63.05,84
beisfjord,68.38,97
alihe,50.57,85
kaabong,3.51,95
nador,35.17,63
plyussa,58.42,41
puerto suarez,-18.96,50
san jeronimo,-13.65,58
natal,-5.81,62
harrison,39.26,93
svetlogorsk,53.14,53
hoi an,15.88,83
calama,-22.46,15
lucea,18.44,66
goroka,-6.07,93
masinloc,15.54,79
inirida,3.87,75
cayenne,4.94,66
bovolone,45.26,87
tazovskiy,67.47,95
fairbanks,64.84,100
suoyarvi,62.08,63
mattru,7.62,79
dingle,11.0,88
nizhniye sergi,56.66,94
anloga,5.79,79
san francisco,1.17,77
akhmim,26.56,33
samoded,63.61,89
fuyang,32.89,66
waipawa,-39.94,88
totness,33.74,73
ballina,54.11,93
cobourg,43.96,64
pine bluff,34.23,70
awbari,26.59,14
segovia,40.95,84
saint-paul,45.22,100
comodoro rivadavia,-45.87,68
muswellbrook,-32.27,96
les cayes,18.19,74
kajaani,64.22,92
le havre,49.49,100
kidal,18.44,18
broome,52.47,93
imuris,30.78,52
dongfeng,42.67,91
suratgarh,29.32,47
great bend,38.36,69
camaqua,-30.85,59
titel,45.21,69
chicama,-7.84,73
sabang,13.8,94
boguchany,58.38,92
hofn,64.25,85
banjar,-7.37,94
fayaoue,-20.65,70
nizwa,22.93,56
rumoi,43.93,84
koygorodok,60.44,97
grand gaube,-20.01,88
sibolga,1.74,97
mount darwin,-16.77,78
rohru,31.2,76
viedma,-40.81,14
fagernes,60.99,96
coahuayana,18.62,64
altay,47.83,27
wells,51.21,100
winnemucca,40.97,56
novikovo,51.15,36
namtsy,62.72,75
shush,55.6,78
vite,42.89,100
lady frere,-31.7,87
petrolina de goias,-16.09,57
constantine,36.36,71
saint anthony,43.97,74
road town,18.42,62
bonnyville,54.27,52
udachnyy,66.42,68
palmer,-34.85,81
deputatskiy,69.3,92
ntcheu,-14.82,87
iqaluit,63.75,68
progreso,-34.68,49
tateyama,36.66,93
mirandopolis,-21.13,35
ileza,61.05,88
coihaique,-45.58,39
poum,41.28,86
katsuura,33.93,87
sheridan,39.65,39
cassilandia,-19.11,33
henties bay,-22.12,82
tarko-sale,64.92,86
sikonge,-5.63,94
charlestown,41.38,36
myitkyina,25.38,83
namibe,-15.19,84
muros,42.77,100
san policarpo,12.18,86
rassvet,49.11,68
carutapera,-1.2,78
